block_data,pnum,count,means,std,min,25%,50%,75%,max
3,11083,12,0.833333333,0.389249472,0,1,1,1,1
3,11087,12,0.666666667,0.492365964,0,0,1,1,1
3,11089,12,0.916666667,0.288675135,0,1,1,1,1
3,11093,12,0.916666667,0.288675135,0,1,1,1,1
3,11095,12,0.666666667,0.492365964,0,0,1,1,1
3,11098,12,0.583333333,0.514928651,0,0,1,1,1
3,11103,12,0.583333333,0.514928651,0,0,1,1,1
4,11011,12,0.833333333,0.389249472,0,1,1,1,1
4,11013,12,1,0,1,1,1,1,1
4,11019,12,0.916666667,0.288675135,0,1,1,1,1
4,11021,12,0.666666667,0.492365964,0,0,1,1,1
4,11023,12,0.5,0.522232968,0,0,0.5,1,1
4,11025,12,0.666666667,0.492365964,0,0,1,1,1
4,11027,12,0.916666667,0.288675135,0,1,1,1,1
4,11029,12,0.75,0.452267017,0,0.75,1,1,1
4,11037,12,0.916666667,0.288675135,0,1,1,1,1
4,11039,12,0.666666667,0.492365964,0,0,1,1,1
4,11047,12,0.916666667,0.288675135,0,1,1,1,1
4,11051,12,0.916666667,0.288675135,0,1,1,1,1
4,11057,12,0.75,0.452267017,0,0.75,1,1,1
4,11059,12,0.916666667,0.288675135,0,1,1,1,1
4,11063,12,0.75,0.452267017,0,0.75,1,1,1
4,11065,12,0.916666667,0.288675135,0,1,1,1,1
4,11069,12,0.916666667,0.288675135,0,1,1,1,1
4,11071,12,0.416666667,0.514928651,0,0,0,1,1
4,11077,12,1,0,1,1,1,1,1
4,11081,12,0.833333333,0.389249472,0,1,1,1,1
4,11083,12,0.75,0.452267017,0,0.75,1,1,1
4,11087,12,0.833333333,0.389249472,0,1,1,1,1
4,11095,12,0.916666667,0.288675135,0,1,1,1,1
4,11098,12,0.666666667,0.492365964,0,0,1,1,1
4,11103,12,0.916666667,0.288675135,0,1,1,1,1
5,11011,12,1,0,1,1,1,1,1
5,11021,12,0.5,0.522232968,0,0,0.5,1,1
5,11023,12,0.916666667,0.288675135,0,1,1,1,1
5,11025,12,0.833333333,0.389249472,0,1,1,1,1
5,11029,12,0.833333333,0.389249472,0,1,1,1,1
5,11039,12,0.5,0.522232968,0,0,0.5,1,1
5,11057,12,0.916666667,0.288675135,0,1,1,1,1
5,11063,12,0.916666667,0.288675135,0,1,1,1,1
5,11071,12,0.583333333,0.514928651,0,0,1,1,1
5,11081,12,0.75,0.452267017,0,0.75,1,1,1
5,11083,12,0.916666667,0.288675135,0,1,1,1,1
5,11087,12,0.833333333,0.389249472,0,1,1,1,1
5,11098,12,0.833333333,0.389249472,0,1,1,1,1
6,11021,12,0.583333333,0.514928651,0,0,1,1,1
6,11025,12,0.916666667,0.288675135,0,1,1,1,1
6,11029,12,0.833333333,0.389249472,0,1,1,1,1
6,11039,12,0.916666667,0.288675135,0,1,1,1,1
6,11071,12,0.5,0.522232968,0,0,0.5,1,1
6,11081,12,1,0,1,1,1,1,1
6,11087,12,0.75,0.452267017,0,0.75,1,1,1
6,11098,12,0.833333333,0.389249472,0,1,1,1,1
7,11021,12,0.583333333,0.514928651,0,0,1,1,1
7,11029,12,1,0,1,1,1,1,1
7,11071,12,1,0,1,1,1,1,1
7,11087,12,1,0,1,1,1,1,1
7,11098,12,1,0,1,1,1,1,1
8,11021,12,0.916666667,0.288675135,0,1,1,1,1
