block_data,pnum,count,means,std,min,25%,50%,75%,max
2,11084,12,0.75,0.452267017,0,0.75,1,1,1
2,11086,12,0.75,0.452267017,0,0.75,1,1,1
2,11090,12,0.416666667,0.514928651,0,0,0,1,1
2,11091,12,0.75,0.452267017,0,0.75,1,1,1
2,11092,12,0.666666667,0.492365964,0,0,1,1,1
2,11094,12,0.583333333,0.514928651,0,0,1,1,1
2,11099,12,0.75,0.452267017,0,0.75,1,1,1
2,11100,12,0.666666667,0.492365964,0,0,1,1,1
2,11104,12,0.833333333,0.389249472,0,1,1,1,1
3,11008,12,0.75,0.452267017,0,0.75,1,1,1
3,11012,12,0.833333333,0.389249472,0,1,1,1,1
3,11016,12,0.75,0.452267017,0,0.75,1,1,1
3,11022,12,0.583333333,0.514928651,0,0,1,1,1
3,11024,12,0.666666667,0.492365964,0,0,1,1,1
3,11026,12,0.916666667,0.288675135,0,1,1,1,1
3,11032,12,0.75,0.452267017,0,0.75,1,1,1
3,11034,12,0.75,0.452267017,0,0.75,1,1,1
3,11036,12,0.666666667,0.492365964,0,0,1,1,1
3,11040,12,0.75,0.452267017,0,0.75,1,1,1
3,11042,12,0.75,0.452267017,0,0.75,1,1,1
3,11048,12,0.75,0.452267017,0,0.75,1,1,1
3,11052,12,1,0,1,1,1,1,1
3,11054,12,0.75,0.452267017,0,0.75,1,1,1
3,11056,12,0.75,0.452267017,0,0.75,1,1,1
3,11060,12,0.666666667,0.492365964,0,0,1,1,1
3,11064,12,0.583333333,0.514928651,0,0,1,1,1
3,11068,12,0.833333333,0.389249472,0,1,1,1,1
3,11070,12,0.833333333,0.389249472,0,1,1,1,1
3,11072,12,0.75,0.452267017,0,0.75,1,1,1
3,11076,12,0.833333333,0.389249472,0,1,1,1,1
3,11078,12,0.833333333,0.389249472,0,1,1,1,1
3,11080,12,0.75,0.452267017,0,0.75,1,1,1
3,11082,12,0.75,0.452267017,0,0.75,1,1,1
3,11084,12,0.833333333,0.389249472,0,1,1,1,1
3,11086,12,1,0,1,1,1,1,1
3,11090,12,0.416666667,0.514928651,0,0,0,1,1
3,11091,12,0.75,0.452267017,0,0.75,1,1,1
3,11092,12,0.75,0.452267017,0,0.75,1,1,1
3,11094,12,0.583333333,0.514928651,0,0,1,1,1
3,11099,12,0.75,0.452267017,0,0.75,1,1,1
3,11100,12,0.666666667,0.492365964,0,0,1,1,1
3,11104,12,0.916666667,0.288675135,0,1,1,1,1
4,11008,12,0.833333333,0.389249472,0,1,1,1,1
4,11012,12,0.916666667,0.288675135,0,1,1,1,1
4,11016,12,1,0,1,1,1,1,1
4,11022,12,0.916666667,0.288675135,0,1,1,1,1
4,11024,12,0.666666667,0.492365964,0,0,1,1,1
4,11032,12,0.666666667,0.492365964,0,0,1,1,1
4,11034,12,0.833333333,0.389249472,0,1,1,1,1
4,11036,12,0.916666667,0.288675135,0,1,1,1,1
4,11040,12,0.833333333,0.389249472,0,1,1,1,1
4,11042,12,0.75,0.452267017,0,0.75,1,1,1
4,11048,12,0.916666667,0.288675135,0,1,1,1,1
4,11054,12,0.916666667,0.288675135,0,1,1,1,1
4,11056,12,0.833333333,0.389249472,0,1,1,1,1
4,11060,12,0.5,0.522232968,0,0,0.5,1,1
4,11064,12,0.833333333,0.389249472,0,1,1,1,1
4,11068,12,0.666666667,0.492365964,0,0,1,1,1
4,11070,12,0.916666667,0.288675135,0,1,1,1,1
4,11072,12,0.916666667,0.288675135,0,1,1,1,1
4,11076,12,0.916666667,0.288675135,0,1,1,1,1
4,11078,12,0.833333333,0.389249472,0,1,1,1,1
4,11080,12,0.583333333,0.514928651,0,0,1,1,1
4,11082,12,0.833333333,0.389249472,0,1,1,1,1
4,11084,12,1,0,1,1,1,1,1
4,11090,12,0.25,0.452267017,0,0,0,0.25,1
4,11091,12,0.75,0.452267017,0,0.75,1,1,1
4,11092,12,0.833333333,0.389249472,0,1,1,1,1
4,11094,12,0.583333333,0.514928651,0,0,1,1,1
4,11099,12,0.75,0.452267017,0,0.75,1,1,1
4,11100,12,1,0,1,1,1,1,1
5,11008,12,0.833333333,0.389249472,0,1,1,1,1
5,11024,12,0.833333333,0.389249472,0,1,1,1,1
5,11032,12,1,0,1,1,1,1,1
5,11034,12,1,0,1,1,1,1,1
5,11040,12,0.916666667,0.288675135,0,1,1,1,1
5,11042,12,0.916666667,0.288675135,0,1,1,1,1
5,11056,12,0.583333333,0.514928651,0,0,1,1,1
5,11060,12,0.916666667,0.288675135,0,1,1,1,1
5,11064,12,0.75,0.452267017,0,0.75,1,1,1
5,11068,12,0.916666667,0.288675135,0,1,1,1,1
5,11078,12,1,0,1,1,1,1,1
5,11080,12,0.833333333,0.389249472,0,1,1,1,1
5,11082,12,0.75,0.452267017,0,0.75,1,1,1
5,11090,12,0.666666667,0.492365964,0,0,1,1,1
5,11091,12,0.833333333,0.389249472,0,1,1,1,1
5,11092,12,1,0,1,1,1,1,1
5,11094,12,0.583333333,0.514928651,0,0,1,1,1
5,11099,12,0.666666667,0.492365964,0,0,1,1,1
6,11008,12,0.833333333,0.389249472,0,1,1,1,1
6,11024,12,0.75,0.452267017,0,0.75,1,1,1
6,11056,12,0.75,0.452267017,0,0.75,1,1,1
6,11064,12,0.916666667,0.288675135,0,1,1,1,1
6,11080,12,0.916666667,0.288675135,0,1,1,1,1
6,11082,12,0.75,0.452267017,0,0.75,1,1,1
6,11090,12,0.583333333,0.514928651,0,0,1,1,1
6,11091,12,0.916666667,0.288675135,0,1,1,1,1
6,11094,12,0.916666667,0.288675135,0,1,1,1,1
6,11099,12,0.916666667,0.288675135,0,1,1,1,1
7,11008,12,0.666666667,0.492365964,0,0,1,1,1
7,11024,12,1,0,1,1,1,1,1
7,11056,12,0.833333333,0.389249472,0,1,1,1,1
7,11082,12,0.916666667,0.288675135,0,1,1,1,1
7,11090,12,0.916666667,0.288675135,0,1,1,1,1
8,11008,12,0.916666667,0.288675135,0,1,1,1,1
8,11056,12,0.916666667,0.288675135,0,1,1,1,1
